INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,TONE
579,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"All blood is tested for pathogens and viruses, without regard to donor background or similar. I really do not understand your concern: ""Each unit of blood donated in the U.S. is routinely screened for various infectious disease pathogens, including five transfusion–transmitted viruses, using nine laboratory tests."" - [link]",LGBT+,V1,Conversational
584,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,"Improvements in testing and other safeguards have reduced the risk from transfusion transmitted HIV, so ruling out donors only because of their sexual orientation is completely meaningless.",LGBT+,V1,Confrontational
585,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,Blood is always needed. It is simply illogical to bar donations to a commodity in short supply. It is better to improve control in case.,LGBT+,V1,Confrontational
587,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Feminism strives for equality, not for division.",WOMEN,V1,Empathetic
590,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","In fact some think that ""Gender Equality"" would be a better than ""Feminism"".Either way, there is still the problem of inequality to be solved.",WOMEN,V1,Conversational
592,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.",Just because women in the West have equality under the law does not mean they have equality in practice. Don't you agree?,WOMEN,V1,Inquisitive
594,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Are you sure? Even in the west, there are women who still don't have equal access to many of their rights, especially when it comes to healthcare. [https://www.motherjones.com/politics/2018/05/this-map-depicts-abortion-access-across-america-and-its-really-bleak/]",WOMEN,V1,Conversational
596,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],"This is a generalization: movements which promote abuse of female power over men are just examples of toxic feminism, disapproved of by most women.",WOMEN,V1,Confrontational
598,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.","That's something women are actively working on, and because of that there is what is called ""intersectional feminism"". As you can see the goal of a lot of feminists is having a movement representative of all females.",WOMEN,V1,Conversational
599,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of Feminism?","Since the movement is meant to achieve equality for the oppressed female population, it is called the movement for women: FEMinism. But of course the outcome will be equality.!",WOMEN,V1,Conversational
602,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",DISABLED,V1,Confrontational
603,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If teachers and parents intervene and educate appropriately, the response could be one more of empathy than of antagonism and bullying. Don't you think? Isn't your comment just classic victim-blaming?",DISABLED,V1,Inquisitive
604,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"People with Down Syndrome should be taught in mainstream education, because diversity is an enrichment for all.",DISABLED,V1,Empathetic
607,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"An inclusive system makes every child feel part of a community, it fosters a positive learning atmosphere and increases engagement and attention in all students. Thus it is a benefit for all students. [link]",DISABLED,V1,Empathetic
611,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development?",DISABLED,V1,Inquisitive
613,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",DISABLED,V1,Empathetic
614,"Children with Down Syndrome should be isolated, they cannot cope with education in normal schools.","When students are able to demonstrate that they are able to learn, to segragate students will produce the worst outcime for all converned.",DISABLED,V1,Confrontational
615,Downies are just sick people that can't integrate into society because of their disease.,"So what's your suggestion? Isloation? The real solution is involving them in work and everyday life, since this normalizes their illness and helps the integration with other people.",DISABLED,V1,Inquisitive
620,Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.",DISABLED,V1,Empathetic
621,Downies may hinder the productivity of other workers. They should be isolated.,Coexisting and working with handicapped people may prove insightful for others and help them develop better sensitivity that can in turn improve the working climate.,DISABLED,V1,Empathetic
622,Downies don't know shit and they hinder the productivity of other workers. They should be isolated.,"People with DS develop better skills and understanding of human differences when they are allowed to interact, instead of being separated.",DISABLED,V1,Empathetic
623,Downies may hinder the productivity of other workers. They should be isolated.,"An inclusive working environment and welfare provision make every person feel part of a community, it fosters a positive atmosphere and increases everybody's productivity. Thus it is a benefit for all workers. [link]",DISABLED,V1,Empathetic
626,Some races have lower physical and cognitive abilities therefore their life is less valuable.,How can you say that? All humans are born equally valuable.,other,V1,Inquisitive
627,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",On the contrary: believing that all humans are created equal is beneficial for humanity.,other,V1,Conversational
628,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",Religious sources agree that all humans are born equal. What is the religion you are talking about?,other,V1,Inquisitive
630,"Some races are poor because they are inferior, also in the eye of the Lord.",The rich and poor have this in common: The Lord made them both.,other,V1,Empathetic
633,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","According to science, all human beings belong to one - scientifically determined - species: Homo sapiens.",other,V1,Confrontational
636,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"Following your reasoning, if one's value depends on one's role in society, then one has no value until they take on a role. Therefore we are all born equal (i.e. valueless).",other,V1,Conversational
638,Some races have lower physical and cognitive abilities therefore their life is less valuable.,"A person's value is rooted in their ability to experience feelings, emotions, empathy and self awareness. Since all humans have these capacities, then we are all born equally valuable.",other,V1,Empathetic
646,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.,"On the contrary: different cultures have different perspectives and ideas about things. If we are able to share and discuss ideas, it would probably lead people to come up with new ideas and new technologies.",MIGRANTS,V1,Conversational
647,This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"When different cultures are able to co-exist, they can complement each other, foster innovation and thrive.",MIGRANTS,V1,Empathetic
648,This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,The diversity of a society can only be a good thing as it builds relationships and knowledge.,MIGRANTS,V1,Empathetic
651,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,Having different cultures and races is good for societies in general.,MIGRANTS,V1,Empathetic
659,"Multiculturalism is the death of western societies, we should stop this invasion before it's too late.",Monocultural nations struggle to grow. Being open to different cultures helps the nation to expand and thrive.,MIGRANTS,V1,Empathetic
660,This is an invasion: we must stop immigrants because they are not accepted by our people.,"The more a country takes integration as national policy, the more the citizens accept each other: see for example [link].",MIGRANTS,V1,Conversational
661,This is an invasion: we cannot coexist with millions of migrants that will destroy our economy and welfare.,Skilled migrants labour is a fundamental resource for growing businesses.,MIGRANTS,V1,Confrontational
662,Fat people are a burden to society because of their unhealthy and reckless choices.,"For most people, obesity is not a choice, at all.",other,V1,Confrontational
664,Fat people are a burden to society because of their unhealthy and reckless choices.,"Making it socially unacceptable to be obese will just increase bullying toward these people, making the problem even worse.",other,V1,Confrontational
666,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits. And I think that most people share this point of view.",Unfortunately there is evidence that weight discrimination (for example in the US) is similar to gender or race discrimination. [link],other,V1,Conversational
670,Societal disapproval of fatty may encourage them to take healthier habits.,"Obesity is already disapproved of, further discouragement is likely to transform it to shaming behavior.",other,V1,Confrontational
673,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"People tend to choose the most direct and simplest way of enforcing conformity, so it's unlikely that bullying of overweight people would change into ""societal disapproval"" strategies.",other,V1,Conversational
681,Shaming Fatties is just for their good.,Shame is by definition a painful social emotion. Trying to cause that is a form of discrimination. Are you aware of that?,other,V1,Inquisitive
684,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,Disagreement with facts does not necessitate their removal from curricula.,LGBT+,V1,Confrontational
685,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",Some parents may be racist and be against teaching about slavery. That doesn't mean that subjects such as this shouldn't be truthfully covered.,LGBT+,V1,Confrontational
686,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.","By this reasoning, no subject of importance should be taught in school, because there is always someone against a certain topic.",LGBT+,V1,Conversational
690,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Learning about gender identity and sexual orientation in health classes in school could promote a more accepting environment and reduce bullying.,LGBT+,V1,Empathetic
691,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.","Unbiased and factual lectures can clear up any misconceptions that can create an aversion against the LGBTQ+ community in some students' minds. They could have a weekly/monthly assembly or something like that and daily reminders that anonymous reports of bullying are an option\(can help school keep track of any effects the lectures have on students and overall acceptance\). Schools are required to end and prevent bullying when they can, and this is an opportunity to do so.",LGBT+,V1,Conversational
692,"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.","On the contrary, discrimination against the LGBTQ community is [still a major problem](https://www.hrc.org/youth-report/view-and-share-statistics), and this could help to fix it.",LGBT+,V1,Conversational
693,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Children in classes that included LGBT content reported less harassment than children in classes without it. (https://tcf.org/content/commentary/can-education-reduce-prejudice-lgbt-people/?agreed=1),LGBT+,V1,Conversational
694,LGBTs just want to brainwash our children. Kids should not be taught about gender identity and sexual orientation in school.,"In the case of young children, having awareness and understanding of sexual orientation may help those with severe identity issues, body dysphoria, or self-esteem problems.",LGBT+,V1,Empathetic
696,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,Understanding gender diversity would break down stereotypes and reduce sexism.,LGBT+,V1,Confrontational
698,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,"Not all families are capable of educating their children on this topic, either because of circumstances (poverty, broken home, etc.) or because of religious beliefs.",LGBT+,V1,Conversational
699,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,"Families may not have good knowledge of gender identity and sexual orientation, particularly if they come from a cultural background that condemns such expression.",LGBT+,V1,Confrontational
700,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,"Some children might not have a beneficial, welcoming and nurturing family life.",LGBT+,V1,Empathetic
706,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,Only a sexist argument could cause hate from a discussion of females trying to gain more rights.,WOMEN,V1,Confrontational
707,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.","Thanks to feminism, women now have a choice between either having a family, having a career, or balancing both - which can be challenging for people to manage, of course.",WOMEN,V1,Conversational
708,"Equality is crap, even for woman. The more power women have, the more they depart from domestic duties , the unhappier they become.","If women are stressed about balancing family and career it is because men are still not sharing equally in the [responsibilities at home](https://www.huffingtonpost.ca/2017/09/27/women-chores-home_a_23224733/). It is not the choices that cause women stress, it is patriarchy and archaic gender roles.",WOMEN,V1,Conversational
710,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Obama was a pretty divisive force in society too. So were Malcolm X, Martin Luther King, Gandhi, Oppenheimer, Einstein, Caesar, etc. What is your point exactly?",WOMEN,V1,Inquisitive
711,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.","Donna Hylton had served her sentence, and once served most moral systems allow rights like freedom of speech to return.",WOMEN,V1,Confrontational
718,Fat people are a burden to society because of their unhealthy choices.,"For many people, obesity is not a choice.",other,V1,Confrontational
721,Fat people are a burden to society because of their unhealthy choices.,"Whilst there are a number of individuals who have certain diseases which can influence their weight, the problem lies with the food industry manufacturing obesity and then putting the responsibility on the individual to loose that weight by buying ""low fat"" foods. These ""low fat"" foods are often owned by the same companies selling unhealthy food and don't tackle the cause. Although the individual is always responsible, the food industry is perhaps more so.",other,V1,Conversational
723,Fat people are a burden to society because of their unhealthy choices.,"The real problem is that, whether or not someone has 'chosen' to be obese is often not clear-cut, and when in doubt, society tends to condemn and shame.",other,V1,Conversational
724,Fat people are a burden to society because of their unhealthy choices.,"This claim paves the way to body-shaming, and once body-shaming of obese people is normalised, it is difficult to ensure that individual members of society assess the reasons for someone's obesity or carefully consider their exact message before treating it as an unacceptable lifestyle choice.",other,V1,Confrontational
726,Fat people are a burden to society because of their unhealthy choices.,"Could you explain me how is it possible that society views obese children, not as deviants but rather as victims of unacceptable circumstance, but at the same time adults not?",other,V1,Inquisitive
727,"Fat people should be isolated from society, so we will eventually have a healthier world.","This makes fat shaming directly analogous to other forms of discrimination, like racism and sexism.",other,V1,Confrontational
732,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",This is not true. How can you say this about an entire faith? This is just hatred.,MUSLIMS,V1,Inquisitive
735,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Why would you think it is a war? Can't we deal with it peacefully? War cannot solve problems but create chaos.,MUSLIMS,V1,Inquisitive
736,If the Koran was published today it would be banned as hate speech.,How often have you read the Quran and thought about its teachings? Or is your knowledge based on selected highlights? We all know there are exerts like that in the Bible too.,MUSLIMS,V1,Inquisitive
738,"All Muslims should be deported, no one wants them here.",You are clearly not speaking on behalf of me.,MUSLIMS,V1,Confrontational
739,Muslims have no place in civilised Europe.,Provide positive news stories about the Muslim community and promote a better understanding.,MUSLIMS,V1,Empathetic
741,We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,"No one is stopping you from celebrating Easter, nor are they offended by it.",MUSLIMS,V1,Confrontational
745,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Invasion? Don't you think this expression is slightly over dramatic? People simply want to live in one of the best cities in the world!,MUSLIMS,V1,Conversational
746,Uk is being islamized very fast. British government submits to every whim of Islam.,Are you suggesting that the 'Prevent' programme is about appeasement to Islam?,MUSLIMS,V1,Inquisitive
747,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Islam is that same sisterhood of tolerance and understanding across the world.,MUSLIMS,V1,Empathetic
748,It is one law for Muslims and another law for us.,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",MUSLIMS,V1,Conversational
750,Muslims have no place in civilised Europe.,"Oh, the same Muslims who contribute more than 31 billion pounds to economy and who give more to charity than other religious groups. Link to MEND factsheet.",MUSLIMS,V1,Conversational
751,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, are still the majority.",MUSLIMS,V1,Confrontational
752,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),"Small groups of people peacefully gather to pray, but because they do not look like you, you are outraged? Why am I not surprised?",MUSLIMS,V1,Inquisitive
753,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","Don't most religions have instuctions for what they deem to be 'rightous living', voluntary codes or law's (if you insist) for the faithful to follow. Have a peek at Leviticus if you think only Islam has elements that are intrepreted in extremist ways.",MUSLIMS,V1,Conversational
758,All Muslims are incompatible with any Western society.,"Islam's teachings uphold religious and personal freedoms, are these the Western values you mean?",MUSLIMS,V1,Inquisitive
759,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Send me a postcard!,MUSLIMS,V1,Conversational
760,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,MUSLIMS,V1,Inquisitive
762,Every Muslim is a potential terrorist.,What do you base your view on?,MUSLIMS,V1,Inquisitive
763,Every Muslim is a potential terrorist.,"I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well??",MUSLIMS,V1,Inquisitive
764,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",That sounds like quite a violent threat. Should I let the police know about this or?,MUSLIMS,V1,Inquisitive
766,The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?,MUSLIMS,V1,Inquisitive
767,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It's not about death and despair.",MUSLIMS,V1,Empathetic
768,What have Muslims ever done for us?,How about this. [insert link to Muslim group cleaning Newcastle streets after New Year's or more up to date example].,MUSLIMS,V1,Conversational
769,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,Prejudice = Pre-judging ie not knowing anything. How can that be common sense?,MUSLIMS,V1,Inquisitive
770,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,MUSLIMS,V1,Confrontational
771,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",Are you a misogynistic man trying to use objectification of women to justify your hate?,MUSLIMS,V1,Inquisitive
776,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",MUSLIMS,V1,Confrontational
777,If the Koran was published today it would be banned as hate speech.,"Just as much as the Bible would. Is your point that in today's society we are all more tolerant? After all, attitudes towards Christians, Jews and Muslims have all moved with the times.",MUSLIMS,V1,Inquisitive
778,All Muslims are incompatible with any Western society.,Define western society? Who decides on the compatibility of any individual or community?,MUSLIMS,V1,Inquisitive
782,Every Muslim is a potential terrorist.,"I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.",MUSLIMS,V1,Conversational
783,Islam is just a moon cult masquerading as a religion.,"Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?",MUSLIMS,V1,Inquisitive
784,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Maybe that 'sisterhood of tolerance and understanding' is challenging sexism everywhere including those men who feel they can tell women what they should believe in and how to live their lives.,MUSLIMS,V1,Conversational
785,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),Omg brown people contributing to our society. How dare they!?,MUSLIMS,V1,Inquisitive
786,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","May I remind you to mind your language? Do you want to share your anger, maybe I can help you?",MUSLIMS,V1,Inquisitive
787,Islam is just a moon cult masquerading as a religion.,Pretty impressive 'cult' to have produced 12 Nobel Prize winners.,MUSLIMS,V1,Conversational
788,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",This is simply not true and how can you say this about such a large group of people from all walks of life?,MUSLIMS,V1,Inquisitive
789,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,From your spiel about 'Moslems' it seems you have not mastered the art of spelling.,MUSLIMS,V1,Conversational
792,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",So 90-95% are not?,MUSLIMS,V1,Inquisitive
793,Islam is a just a repressive ideology that persecutes women and gay people.,You sure?,MUSLIMS,V1,Inquisitive
794,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?,MUSLIMS,V1,Inquisitive
795,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"Many Islamic scholars actively campaign against FGM, it is not mentioned in the Qaran and is banned in a number of Muslim countries. This is a cultural problem, not a religious one.",MUSLIMS,V1,Confrontational
800,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","Source please? Also, even if true how is this representative of all islam?",MUSLIMS,V1,Inquisitive
801,"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",Rape is a universal problem just like war and murder. There is no reason to attribute such crimes to a religious group.,MUSLIMS,V1,Confrontational
802,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),So you are saying that we should only allow non-religious people into public office?,MUSLIMS,V1,Inquisitive
804,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,Child rapists are arrested and punished no matter what religion they follow. I do not think it is true that police does not counteract it.,MUSLIMS,V1,Conversational
805,All Muslims are incompatible with any Western society.,"That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.",MUSLIMS,V1,Empathetic
807,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,MUSLIMS,V1,Inquisitive
808,We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.,Is this actually a way forward? Your suggestion would surely create more problems rather than offering a panacea for society.,MUSLIMS,V1,Inquisitive
809,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",MUSLIMS,V1,Conversational
810,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,How can you say that about all 1.6 billion Muslims?,MUSLIMS,V1,Inquisitive
812,It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!,"Dominating and destroying all other cultures is not the doctrine of Islamic ideology. Instead, Islam teaches people to care for the poor and children. This includes respecting other cultures.",MUSLIMS,V1,Empathetic
815,We have been at war with Islam for a thousand years.,Or have we been coexisting and you are now suddenly offended by people being different from you?,MUSLIMS,V1,Inquisitive
817,Every Muslim is a potential terrorist.,How can you say a person is a potential terrorist?,MUSLIMS,V1,Inquisitive
818,All Muslims are incompatible with any Western society.,"The Bible, the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?",MUSLIMS,V1,Inquisitive
821,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",So you feel like you have been persecuted for belonging to a group? Maybe you have more in common with Muslims than you think!,MUSLIMS,V1,Conversational
822,Above all Islam is a religion of conquest.,"No, Islam is a religion of 1.6 billion people from all walks of life.",MUSLIMS,V1,Confrontational
823,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,The 100 million pounds they donated to charity on Ramadan must be part of that evil plan to blow everyone up.,MUSLIMS,V1,Confrontational
825,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,I only wish followers of all religions and none were more tolerant. For a tolerant Christian world there sure is a lot of discrimination and hate crime.,MUSLIMS,V1,Conversational
829,"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",You cannot blame an entire faith.,MUSLIMS,V1,Confrontational
830,What have Muslims ever done for us?,"British literature has been influenced by Islamic writing for hundreds of years, even Shakespeare included Muslim characters. [link to Othello wiki with example].",MUSLIMS,V1,Conversational
832,Muslims have nothing to contribute to our society.,The 26% of NHS doctors who are Asian/Asian British beg to differ.,MUSLIMS,V1,Confrontational
833,99% of Muslims in the UK are unemployable and refuse to work.,"The vast majority of them bring necessary skills into our economy/society. Plus, they are eager to work. I would suggest to check your sources?",MUSLIMS,V1,Inquisitive
836,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",The Koran does not command this.,MUSLIMS,V1,Confrontational
838,Islam is a just a repressive ideology that persecutes women and gay people.,"Great that you are defending women and gay people but why do I get the feeling it is really just an opportunity to take a dig at Islam. Btw just as they are in the Catholic church, attitudes in Islam are changing fast.",MUSLIMS,V1,Conversational
840,The vast majority of Muslims are unemployed and refuse to work.,The proportion of Muslims unemployed is no more than that of non-Muslims (add a link to UK employment statistics),MUSLIMS,V1,Conversational
841,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.","Everyone has to follow British laws, that's just how it is. So yes, Muslim people do respect our laws. I haven't seen anyone breaking the law and then getting away with it.",MUSLIMS,V1,Conversational
845,Every Muslim is a potential terrorist.,Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.,MUSLIMS,V1,Confrontational
848,Islam is a plague infecting our planet.,Do you mean Islam is positively infecting our planet?,MUSLIMS,V1,Inquisitive
852,Islam is a just a repressive ideology that persecutes women and gay people.,"When Germany legalised same-sex marriage in 2017, all Muslim MPs voted in favour, and 223 non-muslims opposed it. Which of those groups sounds more intolerant?",MUSLIMS,V1,Inquisitive
853,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.","To be fair, I would guess its hard to feel a sense of belonging when you are perpetually identified as a problem?",MUSLIMS,V1,Inquisitive
854,"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",There is plenty of home grown violence and crime. So maybe we shoud focus upon this and crime reduction at home?,MUSLIMS,V1,Inquisitive
856,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"(Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.)",MUSLIMS,V1,Conversational
859,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,MUSLIMS,V1,Confrontational
861,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",Why do you think child rapists are not counteracted in Islamic communities?,MUSLIMS,V1,Inquisitive
862,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,What would Jesus say? I do not think He would be preaching intolerance and hate!,MUSLIMS,V1,Conversational
863,"If they love Sharia law so much, why do not they go off and live in a Muslim country?",Because many Muslims were born here and have every right to live in this country. Next question please?,MUSLIMS,V1,Inquisitive
